묶음,재료명,빈도,출처,표준명,판정,메모
198,귀리,6,식,,,
198,귀리밥,4,식,,,
199,청국장,5,농식,,,
199,청국장가루,5,식,,,
200,쌀뜨물,9,농식,,,
201,배즙,9,농식,,,
202,갓,9,농,,,
203,꽃게,9,농식,,,
204,달래,9,농식,,,
205,탄산수,9,농식,,,
206,부침가루,9,농식,,,
207,메추리알,9,식,,,
208,콩기름,9,식,,,
209,치자,5,농식,,,
209,치자가루,4,식,,,
210,요구르트,5,식,,,
210,플레인 요구르트,4,식,,,
211,꼬치,8,농식,,,
212,배춧잎,8,농식,,,
213,소면,8,농식,,,
214,취나물,8,농식,,,
215,케일,8,농식,,,
216,적채,8,농식,,,
217,닭다리살,8,식,,,
218,돼지등심,8,식,,,
219,미숫가루,8,식,,,
220,청포묵,7,농식,,,
221,술,7,농,,,
222,쑥,7,농식,,,
223,곶감,7,농식,,,
224,바게트,7,농식,,,
225,조미술,7,농식,,,
226,체리,7,농식,,,
227,두반장,7,농식,,,
228,사워크림,7,농식,,,
229,발사믹소스,7,식,,,
230,삼겹살,7,식,,,
231,천일염,7,식,,,
232,참외,7,식,,,
233,캐슈넛,7,식,,,
234,파다진것,7,식,,,
235,쌈장,6,농식,,,
236,문어,6,농식,,,
237,피클,6,농식,,,
238,누룽지,6,농식,,,
239,대하,6,농식,,,
240,코다리,6,농식,,,
241,날치알,6,농식,,,
242,장어,6,농식,,,
243,타임,6,농식,,,
244,셀러리,6,농식,,,
245,검은콩,6,식,,,
246,오리고기,6,식,,,
247,식용꽃,6,식,,,
248,메밀면,6,식,,,
249,콜리플라워,6,식,,,
250,오미자,6,식,,,
251,백년초가루,6,식,,,
252,칠리소스,6,식,,,
253,홍시,6,식,,,
254,무가당 코코아가루,6,식,,,
255,스테비아,6,식,,,
256,중력분,6,식,,,
257,식물성기름,5,농식,,,
258,북어,5,농식,,,
259,차이브,5,농식,,,
260,갈치,5,농식,,,
261,대구살,5,농식,,,
262,단무지,5,농,,,
263,메주콩,5,농식,,,
264,돼지갈비,5,농식,,,
265,꽁치,5,농식,,,
266,잣가루,5,농식,,,
267,우동면,5,농식,,,
268,찬밥,5,농식,,,
269,통계피,5,농식,,,
270,정향,5,농식,,,
